Popularity Ranking,Common Name,Current Botanical Name,Plant Type,Height,Width,Growth Rate,Deciduous,Evergreen,Flowers,Flowering Season,Sun,Soil,Drainage,Water Requirement,Ease of Care,Max Summer Irrigation,Common uses,Availability in Nurseries,Plant URL,QR Codes
1,Big Berry Manzanita,Arctostaphylos glauca,Shrub,3.3 - 20 ft(1 - 6.1 m),6 - 20 ft (1.8 - 6.1 m),"Moderate,Slow",Evergreen,"White,Pink","Winter,Spring",Full Sun,Can tolerate heavy soil on slopes but does best in well-drained soil,"Fast,Medium",Low,Moderately Easy,Max 1x / month once established,"Hedges,Deer Resistant,Bird Gardens,Hummingbird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Arctostaphylos-glauca-(),//legacy.calscape.org/qrcodes/Arctostaphylos-glauca(192)
2,Blueblossom Ceanothus,Ceanothus thyrsiflorus,Shrub,2 - 30 ft(0.6 - 9.1 m),2 - 40 ft (0.6 - 12.2 m),"Fast,Moderate",Evergreen,"Blue,White","Winter,Spring",Part Shade,"Reported to tolerate clay and sand, but Ceanothus generally do best in well-drained soil. Do not fertilize or amend.","Fast,Medium,Slow",Low,Moderately Easy,Max 1x / month once established,"Groundcovers,Hedges,Bank Stabilization,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Ceanothus-thyrsiflorus-(),//legacy.calscape.org/qrcodes/Ceanothus-thyrsiflorus(192)
3,Western Redbud,Cercis occidentalis,Shrub,10 - 20 ft(3 - 6.1 m),10 - 15 ft (3.0 - 4.6 m),Moderate,Winter Deciduous,"Pink,Yellow,Red","Winter,Spring","Part Shade,Full Sun",Adaptable,"Fast,Medium,Slow",Low,Very Easy,Max 1x / week once established,"Bank Stabilization,Hummingbird Gardens,Deer Resistant,Bird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Cercis-occidentalis-(),//legacy.calscape.org/qrcodes/Cercis-occidentalis(192)
4,Maritime Ceanothus,Ceanothus maritimus,Shrub,2 - 3.3 ft(0.6 - 1 m),3 - 8 ft (0.9 - 2.4 m),Slow,Evergreen,"Blue,White,Green","Winter,Spring","Part Shade,Full Sun","Normally found on sand sea bluffs, but tolerant of clay or rocky soils. Reported to tolerate high boron soil.","Fast,Medium,Slow",Low,Very Easy,Max 2x / month once established,"Groundcovers,Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Ceanothus-maritimus-(),//legacy.calscape.org/qrcodes/Ceanothus-maritimus(192)
5,Blue-eyed Grass,Sisyrinchium bellum,Perennial herb,1 - 2 ft(0.3 - 0.6 m),3 in (8cm),Moderate,Summer Semi-Deciduous,"Blue,Lavender,Purple","Winter,Spring","Full Sun,Part Shade",Tolerant of sand and clay,"Fast,Medium,Slow",Low,Very Easy,Max 2x / month once established,"Groundcovers,Deer Resistant,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Sisyrinchium-bellum-(),//legacy.calscape.org/qrcodes/Sisyrinchium-bellum(192)
6,Flannel Bush,Fremontodendron californicum,Shrub,6 - 20 ft(1.8 - 6.1 m),20 ft (6.1 m),"Fast,Moderate",Evergreen,"Yellow,Orange","Summer,Spring",Full Sun,"Sandy, gravelly, rocky or chalky, very well draining soils..",Fast,Low,Moderately Easy,Never irrigate once established,"Hedges,Deer Resistant,Bee Gardens",Commonly Available,//legacy.calscape.org/Fremontodendron-californicum-(),//legacy.calscape.org/qrcodes/Fremontodendron-californicum(192)
7,Hummingbird Sage,Salvia spathacea,Perennial herb,1 - 3 ft(0.3 - 0.9 m),3 ft (0.9 m),Moderate,Evergreen,"Pink,Red","Winter,Spring,Summer","Full Shade,Full Sun,Part Shade",Tolerates a variety of soils,Medium,Very Low,Very Easy,Max 2x / month once established,"Groundcovers,Deer Resistant,Hummingbird Gardens,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Salvia-spathacea-(),//legacy.calscape.org/qrcodes/Salvia-spathacea(192)
8,Nevin's Barberry,Berberis nevinii,Shrub,3.2 - 7 ft(1 - 2.1 m),6 - 12 ft (1. 8 - 3. 7 m),Slow,Evergreen,"Yellow,Green",Spring,"Part Shade,Full Sun",Adaptable but prefers coarse well drained soil,"Fast,Medium",Low,Moderately Easy,Max 2x / month once established,"Hedges,Deer Resistant,Bird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Berberis-nevinii-(),//legacy.calscape.org/qrcodes/Berberis-nevinii(192)
9,Coast Live Oak,Quercus agrifolia,Tree,25 - 82 ft(7.6 - 25 m),15 - 35 ft (4.6 - 10.7 m),"Moderate,Slow",Evergreen,"Yellow,Cream,Green","Spring,Winter","Full Sun,Part Shade","Tolerates a variety of soils but prefers a deep, well draining loam which it usually develops over time from leaf drop",Medium,Low,Very Easy,Max 1x / month once established,"Bank Stabilization,Hedges,Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Quercus-agrifolia-(),//legacy.calscape.org/qrcodes/Quercus-agrifolia(192)
10,Mission Manzanita,Xylococcus bicolor,Shrub,5 - 20 ft(1.5 - 6.1 m),5 - 20 ft (1.5 - 6.1 m),Slow,"Evergreen,Summer Semi-Deciduous","Pink,White","Winter,Spring",Full Sun,Tolerates most soils as long as drainage is fast,Medium,Very Low,,Max 1x / month once established,"Bank Stabilization,Deer Resistant,Hummingbird Gardens,Bird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Xylococcus-bicolor-(),//legacy.calscape.org/qrcodes/Xylococcus-bicolor(192)
11,Santa Cruz Island Buckwheat,Eriogonum arborescens,Shrub,1.6 - 7 ft(0.49 - 2.1 m),2 - 9 ft (0.6 - 2.7 m),"Moderate,Slow",Evergreen,"Brown,Pink,White","Spring,Summer,Fall",Full Sun,Tolerant of sand and clay,"Fast,Medium,Slow",Very Low,Very Easy,Max 1x / month once established,"Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Eriogonum-arborescens-(),//legacy.calscape.org/qrcodes/Eriogonum-arborescens(192)
12,California Fuchsia,Epilobium canum,Perennial herb,0.25 - 1.5 ft(0.08 - 0.46 m),2 - 3 ft (0.6 - 0.9 m),Fast,Winter Semi-Deciduous,Red,"Summer,Fall","Full Sun,Part Shade",Tolerates clay and sand,"Fast,Medium,Slow","Very Low,Low","Very Easy,Moderately Easy",Max 1x / month once established,"Groundcovers,Deer Resistant,Bird Gardens,Hummingbird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Epilobium-canum-(),//legacy.calscape.org/qrcodes/Epilobium-canum(192)
13,Common Manzanita,Arctostaphylos manzanita,Shrub,6 - 20 ft(1.8 - 6.1 m),10 ft (3.0 m),"Moderate,Slow",Evergreen,"White,Green","Winter,Spring","Full Sun, Part Shade",Tolerant of clay or alluvial soil,"Medium,Slow",Very Low,Very Easy,Max 1x / month once established,"Hedges,Deer Resistant,Bird Gardens,Hummingbird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Arctostaphylos-manzanita-(),//legacy.calscape.org/qrcodes/Arctostaphylos-manzanita(192)
14,Chalk Dudleya,Dudleya pulverulenta,"Perennial herb,Succulent",0.33 - 1 ft(0.1 - 0.3 m),1 ft (0.3 m),Moderate,Summer Deciduous,"Orange,Pink,Red","Spring,Summer","Part Shade,Full Sun",Tolerant of a variety of garden soils as long as rocks are added and some slope is provided,"Fast,Medium",Very Low,Very Easy,Max 1x / month once established,"Deer Resistant,Bird Gardens,Hummingbird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Dudleya-pulverulenta-(),//legacy.calscape.org/qrcodes/Dudleya-pulverulenta(192)
15,Showy Penstemon,Penstemon spectabilis,Perennial herb,2 - 4 ft(0.6 - 1.2 m),3 - 4 ft (0.9 - 1.2 m),Moderate,Evergreen,"Blue,Pink,Purple","Spring,Winter",Full Sun,Performs best and lives longest in well-drained soil,Fast,Very Low,Moderately Easy,Max 1x / month once established,"Deer Resistant,Bird Gardens,Hummingbird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Penstemon-spectabilis-(),//legacy.calscape.org/qrcodes/Penstemon-spectabilis(192)
16,Deergrass,Muhlenbergia rigens,Grass,4 - 5 ft(1.2 - 1.5 m),4 ft (1.2 m),"Fast,Moderate",Evergreen,"Yellow,Cream",Spring,Full Sun,Tolerant of sand and clay,"Fast,Medium,Slow",Low,Very Easy,Max 1x / month once established,"Bank Stabilization,Bird Gardens,Butterfly Gardens,Deer Resistant,Groundcovers",Commonly Available,//legacy.calscape.org/Muhlenbergia-rigens-(),//legacy.calscape.org/qrcodes/Muhlenbergia-rigens(192)
17,Douglas Iris,Iris douglasiana,Perennial herb,0.6 - 2.6 ft(0.18 - 0.8 m),2 - 4 ft (0.6 - 1.2 m),"Fast,Moderate",Evergreen,"Blue,Pink,Purple,White,Yellow","Winter,Spring","Full Sun, Part Shade, Full Shade",Prefers heavy soils with organic matter,Slow,Low,Very Easy,Max 1x / month once established,"Groundcovers,Deer Resistant",Commonly Available,//legacy.calscape.org/Iris-douglasiana-(),//legacy.calscape.org/qrcodes/Iris-douglasiana(192)
18,Tall Oregon Grape,Berberis aquifolium,Shrub,3.5 - 7 ft(1.1 - 2.1 m),6 ft (1.8 m),Moderate,Evergreen,Yellow,"Winter,Spring","Full Sun, Part Shade, Full Shade",Tolerates many soil types,Medium,Low,Very Easy,Max 1x / month once established,"Bank Stabilization,Groundcovers,Hedges,Deer Resistant,Bird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Berberis-aquifolium-(),//legacy.calscape.org/qrcodes/Berberis-aquifolium(192)
19,Fremont Cottonwood,Populus fremontii,Tree,39.4 - 114.8 ft(12 - 35 m),35 ft (10.7 m),Fast,Winter Deciduous,"White,Cream","Spring,Winter",Full Sun,Accepts either sandy or clay soil as long as there is sufficient water,"Fast,Medium,Slow",Moderate - High,Very Easy,Keep moist,"Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Populus-fremontii-(),//legacy.calscape.org/qrcodes/Populus-fremontii(192)
20,Carmel Ceanothus,Ceanothus thyrsiflorus var. griseus,Shrub,3 - 15 ft(0.9 - 4.6 m),4 - 15 ft (1.2 - 4.6 m),Fast,Evergreen,Blue,"Winter,Spring",Part Shade,Tolerant of sandy or clay soil,"Fast,Medium,Slow",Low,"Very Easy,Moderately Easy",Max 2x / month once established,"Bank Stabilization,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Ceanothus-thyrsiflorus-var.-griseus-(),//legacy.calscape.org/qrcodes/Ceanothus-thyrsiflorus-var.-griseus(192)
